'bfa02aa3,WZK040104,2024-08-31 21:43:20 +0800,前端整合——登录注册部分接口完成，摄影师个人中心页面完成，我的-志愿详情部分接口完成'
'605959ce,AngelaGuan2004,2024-08-31 18:19:58 +0800,Merge branch 'main' of https://github.com/AngelaGuan2004/db_marathon'
'675ae476,AngelaGuan2004,2024-08-31 18:19:51 +0800,feat:查伤员controller'
'1dad679e,syf-TuT,2024-08-31 17:55:38 +0800,ctl改'
'70b5f2df,ctltcl,2024-08-31 17:54:02 +0800,8.31 17:53'
'1a4e5a23,WZK040104,2024-08-31 17:24:18 +0800,前端整合——完成了照片墙部分，添加了我的-我的志愿部分的接口，优化了主页-近期开赛部分的UI，优化了header栏的显示'
'130ce00a,syf-TuT,2024-08-31 17:10:38 +0800,ctl修改controller'
'8313daa7,syf-TuT,2024-08-31 17:08:51 +0800,On ctl: !!GitHub_Desktop<ctl>'
'4b61cebf,syf-TuT,2024-08-31 17:08:51 +0800,index on ctl: 76ec5815 8.31新'
'76ec5815,ctltcl,2024-08-31 17:00:20 +0800,8.31新'
'bf058390,syf-TuT,2024-08-31 16:56:20 +0800,增加删数Shuttlecar接口，debug查询所有照片的接口'
'bc024d18,whispercat777,2024-08-31 16:53:15 +0800,志愿者详情api通 缺volunteer_id'
'd3d9641c,AngelaGuan2004,2024-08-31 16:41:58 +0800,fix：命名空间'
'bfc47fd8,AngelaGuan2004,2024-08-31 16:37:17 +0800,fix'
'544cf746,ctltcl,2024-08-31 16:33:28 +0800,8.31'
'0e9be845,ctltcl,2024-08-30 17:49:19 +0800,8.30'
'b490603b,AngelaGuan2004,2024-08-30 14:52:28 +0800,fix：修改router路径'
'd25e75b0,syf-TuT,2024-08-30 14:43:47 +0800,debug部分不通问题'
'f1d03b1f,ctltcl,2024-08-30 10:31:32 +0800,8.30'
'feda5622,WZK040104,2024-08-29 22:11:12 +0800,前端整合——完成了赛事详情部分，添加了退出登录逻辑，优化了主页登录UI，修改了志愿报名的跳转逻辑'
